HID,TAZ,TRIPS
,1926,3039
,1927,144
,1928,2548
,1929,2940
,1930,25658
,1931,100764
,1932,14744
,1933,17855
,1934,4263
,1935,5589
,1936,4445
,1937,18264
,1938,8426
,1939,7640
,1940,7996
,1941,3666
,1942,25297
,1943,18287
,1944,5717
,1945,3514
,1946,17279
,1947,1443
,1948,22642
,1949,14614
,1950,2957
,1951,788
,1952,6224
,1953,3254
,1954,28848
,1955,5240
,1956,11227
,1957,63575
,1958,7910
,1959,27125
,1960,3864
,1961,16921
,1962,11713
,1963,28931
,1964,18678
,1965,6008
,1966,12818
,1967,9897
,1968,7294
,1969,12440
,1970,1217
,1971,7840
,1972,30303
,1973,49
,1974,22102
,1975,5113
,1976,22206
,1977,1464
,1978,67231
,1979,2186
,1980,35234
,1981,21651
,1982,11278
,1983,1115
,1984,25319
,1985,47418
,1986,1123
,1987,21080
,1988,51710
,1989,25347
,1990,12385
,1991,12417
,1992,74590
,1993,40464
,1994,36084
,1995,59612
,1996,6163
,1997,62918
,1998,17648
,1999,78752
,2000,21523
,2001,36829
,2002,1615
,2003,250301
,2004,12980
,2005,32311
,2006,15883
,2007,11864
,2008,17896
,2009,24286
,2010,35070
,2011,16283
,2012,15434
,2013,29246
,2014,28094
,2015,89891
,2016,48811
,2017,38580
,2018,35613
,2019,9792
,2020,70152
,2021,7048
,2022,6247
,2023,11135
,2024,2709
,2025,7737
,2026,50867
,2027,53429
,2028,39374
,2029,7701
,2030,23620
,2031,4080
,2032,64357
,2033,11426
,2034,18755
,2035,53135
,2036,37805
,2037,48490
,2038,16532
,2039,15362
,2040,15807
,2041,2289
,2042,5097
,2043,6803
,2044,1442
,2045,11164
,2046,26822
,2047,7931
,2048,16755
,2049,10080
,2050,42417
,2051,4462
,2052,4540
,2053,3898
,2054,25833
,2055,9591
,2056,25364
,2057,33052
,2058,4409
,2059,3527
,2060,28882
,2061,4188
,2062,3897
,2063,2819
,2064,68948
,2065,35118
,2066,21937
,2067,21996
,2068,16389
,2069,11095
,2070,6968
,2071,1362
,2072,30596
,2073,11102
,2074,58924
,2075,3024
,2076,25385
,2077,1598
,2078,11669
,2079,6158
,2080,8644
,2081,5056
,2082,21394
,2083,12327
,2084,28827
,2085,4245
,2086,3304
,2087,11656
,2088,8619
,2089,843
,2090,10664
,2091,7918
,2092,851
,2093,2930
,2094,9112
,2095,678
,2096,16396
,2097,2444
,2098,7326
,2099,16156
,2100,3352
,2101,14562
,2102,461
,2103,11218
,2104,8082
,2105,12844
,2106,3778
,2107,176
,2108,22620
,2109,2758
,2110,37117
,2111,1700
,2112,3310
,2113,3608
,2114,637
,2115,17204
,2116,12599
,2117,9034
,2118,2929
,2119,14614
,2120,20837
,2121,2058
,2122,4281
,2123,1357
,2124,76268
,2125,15193
,2126,31419
,2127,34587
,2128,17932
,2129,32785
,2130,27692
,2131,3992
,2132,2380
,2133,3297
,2134,1124
,2135,5739
,2136,9781
,2137,9940
,2138,5081
,2139,1770
,2140,14822
,2141,1999
,2142,66179
,2143,16438
,2144,10833
,2145,43366
,2146,18306
,2147,18161
,2148,31909
,2149,10278
,2150,6815
,2151,3659
,2152,10873
,2153,3519
,2154,8376
,2155,45900
,2156,26500
,2157,6955
,2158,6237
,2159,6127
,2160,15634
,2161,25068
,2162,31403
,2163,5502
